start_bp	end_bp	ancID	childID
68757525	69498188	1	9385
69498188	69565261	2	9385
69565261	74478830	1	9385
74478830	84796785	2	9385
84796785	85028806	1	9385
85028806	86482474	2	9385
86482474	88192759	1	9385
88192759	88938299	2	9385
88938299	91105114	1	9385
91105114	96698690	2	9385
96698690	100000001	1	9385
0	5298937	1	15140
5298937	8765346	2	15140
8765346	11262483	1	15140
11262483	12621907	2	15140
12621907	16795574	1	15140
16795574	17928060	2	15140
17928060	20617856	1	15140
20617856	21473079	2	15140
21473079	29291983	1	15140
29291983	29551109	2	15140
29551109	30282740	1	15140
30282740	30832838	2	15140
30832838	35009224	1	15140
35009224	39458907	2	15140
39458907	44434368	1	15140
44434368	44715502	2	15140
44715502	46500489	1	15140
46500489	48079608	2	15140
48079608	51978220	1	15140
51978220	56923823	2	15140
56923823	66378863	1	15140
66378863	68729939	2	15140
68729939	71398174	1	15140
71398174	72775334	2	15140
72775334	73770456	1	15140
73770456	76244412	2	15140
76244412	76425721	1	15140
76425721	77884776	2	15140
77884776	78783929	1	15140
78783929	79304406	2	15140
79304406	84324051	1	15140
84324051	85205875	2	15140
85205875	87674390	1	15140
87674390	92482250	2	15140
92482250	99198562	1	15140
99198562	100000001	2	15140
0	610346	1	2987
610346	2145066	2	2987
2145066	3252000	1	2987
3252000	7357237	2	2987
7357237	12217673	1	2987
12217673	14687553	2	2987
14687553	20727010	1	2987
20727010	27787374	2	2987
27787374	36024999	1	2987
36024999	37960941	2	2987
37960941	43260711	1	2987
43260711	43576288	2	2987
43576288	46752804	1	2987
46752804	47402919	2	2987
47402919	51607027	1	2987
51607027	52360005	2	2987
52360005	56151958	1	2987
56151958	56258022	2	2987
56258022	60470582	1	2987
60470582	61084684	2	2987
61084684	61915776	1	2987
61915776	63598760	2	2987
63598760	63705247	1	2987
63705247	64924116	2	2987
64924116	67269277	1	2987
67269277	67635426	2	2987
67635426	72925737	1	2987
72925737	74201666	2	2987
74201666	77878366	1	2987
77878366	79365450	2	2987
79365450	82459017	1	2987
82459017	83442410	2	2987
83442410	89618658	1	2987
89618658	89947305	2	2987
89947305	90490720	1	2987
90490720	90548967	2	2987
90548967	91202792	1	2987
91202792	96218834	2	2987
96218834	96600542	1	2987
96600542	98345537	2	2987
