start_bp	end_bp	ancID	childID
0	1407448	1	1766
1407448	3045194	2	1766
3045194	3399005	1	1766
3399005	5309555	2	1766
5309555	5676826	1	1766
5676826	6186481	2	1766
6186481	8787453	1	1766
8787453	10836442	2	1766
10836442	17302459	1	1766
17302459	20515523	2	1766
20515523	22154297	1	1766
22154297	22176397	2	1766
22176397	22451121	1	1766
22451121	24761209	2	1766
24761209	25706439	1	1766
25706439	26126750	2	1766
26126750	30719783	1	1766
30719783	30822015	2	1766
30822015	32392708	1	1766
32392708	35761745	2	1766
35761745	38078167	1	1766
38078167	40457588	2	1766
40457588	42034220	1	1766
42034220	42359020	2	1766
42359020	42542518	1	1766
42542518	44266458	2	1766
44266458	46035651	1	1766
46035651	46769066	2	1766
46769066	50691437	1	1766
50691437	51216779	2	1766
51216779	53077296	1	1766
53077296	55249214	2	1766
55249214	57329995	1	1766
57329995	59004528	2	1766
59004528	59281199	1	1766
59281199	63158940	2	1766
63158940	63670592	1	1766
63670592	64333046	2	1766
64333046	65496645	1	1766
65496645	68346826	2	1766
68346826	76836834	1	1766
76836834	81126467	2	1766
81126467	81149794	1	1766
81149794	86040245	2	1766
86040245	89288608	1	1766
89288608	95461569	2	1766
95461569	99127403	1	1766
99127403	100000001	2	1766
0	4542680	2	2224
4542680	6750015	1	2224
6750015	7845518	2	2224
7845518	8351061	1	2224
8351061	11251090	2	2224
11251090	13456944	1	2224
13456944	19122318	2	2224
19122318	19169970	1	2224
19169970	20687158	2	2224
20687158	20693055	1	2224
20693055	20876847	2	2224
20876847	21775135	1	2224
21775135	23794102	2	2224
23794102	31988165	1	2224
31988165	32312595	2	2224
32312595	33050141	1	2224
33050141	38978897	2	2224
38978897	40358356	1	2224
40358356	41689582	2	2224
41689582	41964833	1	2224
41964833	43086784	2	2224
43086784	44061800	1	2224
44061800	48344170	2	2224
48344170	48351978	1	2224
48351978	51065609	2	2224
51065609	53591018	1	2224
53591018	54430106	2	2224
54430106	55474462	1	2224
55474462	58368724	2	2224
58368724	67903329	1	2224
67903329	70030996	2	2224
70030996	70976210	1	2224
70976210	71437594	2	2224
71437594	74238024	1	2224
74238024	76549231	2	2224
76549231	77557426	1	2224
77557426	89763384	2	2224
89763384	91688726	1	2224
91688726	92149856	2	2224
92149856	97388546	1	2224
97388546	98743084	2	2224
98743084	99877388	1	2224
99877388	100000001	2	2224
0	1280662	1	1708
1280662	3974993	2	1708
3974993	7712914	1	1708
7712914	8195258	2	1708
8195258	9549567	1	1708
9549567	11150196	2	1708
11150196	11559202	1	1708
11559202	15117234	2	1708
15117234	15852664	1	1708
15852664	17307275	2	1708
17307275	18347078	1	1708
18347078	19660647	2	1708
19660647	25334027	1	1708
25334027	26149397	2	1708
26149397	30023291	1	1708
30023291	32389830	2	1708
32389830	34862867	1	1708
34862867	35469123	2	1708
35469123	36034237	1	1708
36034237	36879704	2	1708
36879704	37500784	1	1708
37500784	37523214	2	1708
37523214	39435747	1	1708
39435747	44439199	2	1708
44439199	54477091	1	1708
54477091	60098641	2	1708
60098641	60489486	1	1708
60489486	66203690	2	1708
66203690	66907071	1	1708
66907071	67782190	2	1708
67782190	69284514	1	1708
69284514	70311864	2	1708
70311864	71852447	1	1708
71852447	71892574	2	1708
71892574	72281741	1	1708
72281741	76733092	2	1708
76733092	77040725	1	1708
77040725	79773968	2	1708
79773968	80922953	1	1708
80922953	81037911	2	1708
81037911	83312875	1	1708
83312875	84619411	2	1708
84619411	85027631	1	1708
85027631	85544626	2	1708
85544626	88715581	1	1708
88715581	89375175	2	1708
89375175	91038928	1	1708
91038928	92876296	2	1708
92876296	93173144	1	1708
93173144	93632758	2	1708
93632758	93707521	1	1708
93707521	95182774	2	1708
95182774	95583371	1	1708
95583371	97293467	2	1708
97293467	100000001	1	1708
0	425556	2	13817
425556	2138385	1	13817
2138385	4016446	2	13817
4016446	7056869	1	13817
7056869	9938385	2	13817
9938385	11477147	1	13817
11477147	11907693	2	13817
11907693	13846515	1	13817
13846515	17119884	2	13817
17119884	23190398	1	13817
23190398	23241331	2	13817
23241331	26566476	1	13817
26566476	27208982	2	13817
27208982	37582812	1	13817
37582812	38224471	2	13817
38224471	38878290	1	13817
38878290	40232972	2	13817
40232972	45938996	1	13817
45938996	49856731	2	13817
49856731	55179368	1	13817
55179368	56137825	2	13817
56137825	56756289	1	13817
56756289	57197518	2	13817
57197518	63921381	1	13817
63921381	64090054	2	13817
64090054	65106666	1	13817
65106666	66615784	2	13817
66615784	69145141	1	13817
69145141	70407932	2	13817
70407932	72975741	1	13817
72975741	75806950	2	13817
75806950	78291692	1	13817
78291692	80341412	2	13817
80341412	85444259	1	13817
85444259	85445819	2	13817
85445819	88270134	1	13817
88270134	92137535	2	13817
92137535	93982113	1	13817
93982113	94354031	2	13817
94354031	94591235	1	13817
94591235	100000001	2	13817
0	7825772	1	8952
7825772	10614170	2	8952
10614170	13544593	1	8952
13544593	15724417	2	8952
15724417	16651931	1	8952
16651931	17814649	2	8952
17814649	18490128	1	8952
18490128	20323937	2	8952
20323937	20867143	1	8952
20867143	21557953	2	8952
21557953	22575414	1	8952
22575414	25076072	2	8952
25076072	27293037	1	8952
27293037	27481204	2	8952
27481204	27900091	1	8952
27900091	37129105	2	8952
37129105	42515254	1	8952
42515254	44112667	2	8952
44112667	48791288	1	8952
48791288	50741081	2	8952
50741081	51128027	1	8952
51128027	52243585	2	8952
52243585	54921456	1	8952
54921456	55469655	2	8952
55469655	63274584	1	8952
63274584	66935674	2	8952
66935674	71965156	1	8952
71965156	75019968	2	8952
75019968	76016979	1	8952
76016979	82910083	2	8952
